path,name,ext,duration_sec,sr,rms,peak,zcr,ok,error
data\001_original.wav,001_original.wav,.wav,12.0,22050,0.14142167568206787,0.20001220703125,0.0199014748549323,True,
data\001_similar.wav,001_similar.wav,.wav,12.0,22050,0.1414232701063156,0.20001220703125,0.020098865147485493,True,
data\002_original.wav,002_original.wav,.wav,12.0,22050,0.14142172038555145,0.20001220703125,0.02985221228239845,True,
data\002_similar.wav,002_similar.wav,.wav,12.0,22050,0.14141996204853058,0.20001220703125,0.030150658849129593,True,
data\a.wav,a.wav,.wav,24.0,22050,0.14577360451221466,0.220184326171875,0.019921308329303677,True,
data\b.wav,b.wav,.wav,24.0,22050,0.14422078430652618,0.2137451171875,0.0203170333655706,True,
